requested_density,run,initial_population,initial_susceptible,final_susceptible,final_recovered,final_healthy_density,mortality_fraction,infection_episodes,infection_episodes_per_initial_population,peak_infectious,peak_prevalence,duration_generations,time_to_peak,wave_count,resurgence_count
35.0,12,91563.0,91551.0,91558.0,1.0,0.3492698669433594,4.368576826884222e-05,145.0,0.0015836090997455,64.0,0.0006989722923014,136.0,30.0,0,0
35.0,13,91711.0,91699.0,91708.0,1.0,0.3498420715332031,2.1807634852962023e-05,183.0,0.001995398589046,54.0,0.0005888061410299,157.0,41.0,0,0
35.0,14,91621.0,91609.0,91619.0,1.0,0.3495025634765625,1.0914528328658276e-05,55.0,0.0006002990580762,29.0,0.000316521321531,119.0,9.0,0,0
35.0,15,91357.0,91345.0,91353.0,0.0,0.3484840393066406,4.378427487767768e-05,83.0,0.0009085237037118,44.0,0.0004816270236544,131.0,13.0,0,0
35.0,16,91549.0,91537.0,91549.0,0.0,0.3492317199707031,0.0,51.0,0.0005570787228697,32.0,0.0003495395908202,119.0,11.0,0,0
35.0,17,92096.0,92084.0,92093.0,0.0,0.3513069152832031,3.257470465601112e-05,203.0,0.0022042216817234,63.0,0.0006840687977762,243.0,23.0,0,0
35.0,18,92360.0,92348.0,92360.0,0.0,0.352325439453125,0.0,140.0,0.0015158077089649,50.0,0.0005413598960589,244.0,39.0,0,0
35.0,19,91813.0,91801.0,91805.0,3.0,0.3502197265625,5.445851894611874e-05,315.0,0.0034308866936054,62.0,0.0006752856349318,239.0,151.0,0,0
35.0,20,91665.0,91653.0,91661.0,0.0,0.3496589660644531,4.36371570392189e-05,327.0,0.0035673375879561,96.0,0.0010472917689412,541.0,35.0,0,0
35.0,21,91936.0,91924.0,91935.0,0.0,0.3507041931152344,1.08771319178559e-05,59.0,0.0006417507831534,35.0,0.0003806996171249,127.0,8.0,0,0
35.0,22,92035.0,92023.0,92033.0,0.0,0.3510780334472656,2.1730863258542944e-05,137.0,0.0014885641332101,30.0,0.0003259629488781,416.0,11.0,0,0
35.0,23,91713.0,91701.0,91710.0,0.0,0.3498458862304687,3.2710738935592555e-05,517.0,0.0056371506765671,66.0,0.000719636256583,713.0,288.0,0,0
35.0,24,91593.0,91581.0,91554.0,3.0,0.3492622375488281,0.0003930431364842,1828.0,0.0199578570414769,202.0,0.0022054087102726,500.0,276.0,1,0
35.0,25,92025.0,92013.0,92024.0,0.0,0.351043701171875,1.0866612333604998e-05,242.0,0.0026297201847324,44.0,0.0004781309426786,416.0,33.0,0,0
35.0,26,91860.0,91848.0,91854.0,2.0,0.35040283203125,4.3544524276072285e-05,232.0,0.0025255824080121,80.0,0.0008708904855214,256.0,39.0,0,0
35.0,27,91471.0,91459.0,91467.0,0.0,0.3489189147949219,4.3729706682992426e-05,187.0,0.0020443637874298,59.0,0.0006450131735741,295.0,22.0,0,0
35.0,28,91603.0,91591.0,91603.0,0.0,0.3494377136230469,0.0,63.0,0.0006877504011877,26.0,0.0002838334989028,295.0,7.0,0,0
35.0,29,91668.0,91656.0,91667.0,0.0,0.3496818542480469,1.0908932233712964e-05,29.0,0.0003163590347776,20.0,0.0002181786446742,119.0,6.0,0,0
35.0,30,91641.0,91629.0,91639.0,0.0,0.3495750427246094,2.182429262011545e-05,137.0,0.0014949640444779,46.0,0.0005019587302626,127.0,35.0,0,0
40.0,1,104872.0,104860.0,104871.0,0.0,0.4000511169433594,9.53543367152338e-06,36.0,0.0003432756121748,26.0,0.0002479212754596,119.0,11.0,0,0
40.0,2,105073.0,105061.0,105065.0,0.0,0.4007911682128906,7.613754247047291e-05,414.0,0.0039401178228469,102.0,0.0009707536664985,416.0,51.0,0,0
40.0,3,105272.0,105260.0,105129.0,2.0,0.4010429382324219,0.0013393874914507,6873.0,0.0652880158066722,320.0,0.0030397446614484,1153.0,110.0,1,0
40.0,4,105187.0,105175.0,104954.0,2.0,0.4003753662109375,0.0021960888702976,13387.0,0.1272685788167739,570.0,0.0054189205890461,1103.0,460.0,1,0
40.0,5,104756.0,104744.0,104738.0,0.0,0.3995437622070312,0.0001718278666615,789.0,0.0075317881553323,164.0,0.0015655427851387,424.0,67.0,1,0
40.0,6,104765.0,104753.0,104762.0,0.0,0.3996353149414062,2.8635517586980385e-05,362.0,0.0034553524554956,84.0,0.0008017944924354,470.0,20.0,0,0
40.0,7,104601.0,104589.0,104582.0,0.0,0.3989486694335937,0.0001816426229194,751.0,0.0071796636743434,120.0,0.0011472165658072,334.0,34.0,0,0
40.0,8,105383.0,105371.0,105322.0,0.0,0.4017715454101562,0.0005788409895334,3270.0,0.031029672717611,319.0,0.0030270536993632,612.0,159.0,1,0
40.0,9,104770.0,104758.0,104758.0,3.0,0.3996315002441406,8.590245299226878e-05,487.0,0.0046482771785816,97.0,0.0009258375489166,275.0,36.0,0,0
40.0,10,105226.0,105214.0,105028.0,1.0,0.4006538391113281,0.001872160872788,9832.0,0.093436983255089,715.0,0.0067948985992055,986.0,170.0,1,0
40.0,11,104640.0,104628.0,104632.0,2.0,0.3991470336914062,5.733944954128441e-05,386.0,0.0036888379204892,84.0,0.0008027522935779,259.0,89.0,0,0
40.0,12,104884.0,104872.0,104167.0,4.0,0.3973808288574219,0.0067979863468212,36859.0,0.3514263376682811,1075.0,0.0102494184050951,2002.0,346.0,1,0
40.0,13,104890.0,104878.0,104835.0,3.0,0.3999252319335937,0.0004957574601963,2645.0,0.0252168938888359,393.0,0.0037467823434073,531.0,94.0,1,0
40.0,14,104927.0,104915.0,104859.0,0.0,0.4000053405761719,0.0006480696103004,3994.0,0.0380645591697084,311.0,0.0029639654235802,766.0,190.0,1,0
40.0,15,104554.0,104542.0,104489.0,1.0,0.3985977172851562,0.0006121238785699,4210.0,0.0402662738871779,443.0,0.0042370449719762,806.0,112.0,1,0
40.0,16,105088.0,105076.0,105033.0,2.0,0.4006767272949219,0.0005043392204628,3231.0,0.0307456607795371,478.0,0.004548568818514,410.0,151.0,1,0
