requested_density,run,initial_fuel,final_fuel,burned_fuel,burn_fraction,duration_generations,peak_active_fire,peak_active_fraction,time_to_peak,max_burn_rate,dynamic_frames,initial_grass,burned_grass_fraction,initial_bush,burned_bush_fraction,initial_tree,burned_tree_fraction
55.0,19,144165.0,144143.0,22.0,0.00015260292026497417,5.0,20.0,0.00013872992751361288,2.0,4.8555474629764505e-05,6,47939.0,0.00016687874173428732,47904.0,0.000250501002004008,48322.0,4.13890153553247e-05
55.0,20,144350.0,144289.0,61.0,0.00042258399722895737,12.0,24.0,0.00016626255628680292,2.0,6.234845860755108e-05,13,48266.0,0.0009530518377325654,48159.0,0.0002907037106252206,47925.0,2.0865936358894105e-05
55.0,21,144495.0,144476.0,19.0,0.00013149243918474687,5.0,20.0,0.00013841309387868092,2.0,4.844458285753832e-05,6,47769.0,0.0002721430216249032,48361.0,8.271127561464817e-05,48365.0,4.1352217512664116e-05
55.0,22,144569.0,144549.0,20.0,0.00013834224487960765,6.0,23.0,0.00015909358161154882,2.0,5.533689795184306e-05,7,47944.0,0.0002502920073418989,48411.0,0.0001239387742455227,48214.0,4.148172729912474e-05
55.0,23,144279.0,144266.0,13.0,9.010320282230955e-05,4.0,19.0,0.00013168929643260626,2.0,4.158609361029672e-05,5,47883.0,0.00014618967065555626,48417.0,8.261561021955099e-05,47979.0,4.1684903812084455e-05
55.0,24,144128.0,144098.0,30.0,0.00020814831261101242,5.0,24.0,0.00016651865008880995,2.0,6.938277087033747e-05,6,48175.0,0.0003943954333160353,47708.0,0.00014672591598893268,48245.0,8.291014612913255e-05
55.0,25,144409.0,144390.0,19.0,0.000131570746975604,5.0,20.0,0.00013849552313221475,2.0,4.154865693966443e-05,6,48022.0,0.00018741410186997627,48302.0,0.00014492153534015155,48085.0,6.238951856088178e-05
55.0,26,144055.0,144018.0,37.0,0.0002568463434105029,9.0,23.0,0.00015966124049842075,2.0,6.247613758633855e-05,10,47734.0,0.0005446851300959484,48371.0,0.00014471480845961422,47950.0,8.342022940563087e-05
55.0,27,143817.0,143778.0,39.0,0.0002711779553182169,6.0,28.0,0.00019469186535666855,2.0,9.039265177273897e-05,7,48018.0,0.0004998125702861427,47884.0,0.00025060563027316015,47915.0,6.261087342168423e-05
55.0,28,143951.0,143931.0,20.0,0.000138936165778633,7.0,18.0,0.0001250425492007697,2.0,3.473404144465825e-05,8,47934.0,0.0002294822046981266,47888.0,0.0001252923488138991,48129.0,6.233248145608676e-05
